pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
11,203,72,72330,75120,16910,NA,W,3075,98,NA,1,1,6,3,1,3,1,5,2,0,1,1,0,2,2,2,2,7,NA,NA,NA,0,1706,2,1,5,1,NA,NA,CHICAGO,60628,5973,0.00150678051230537,0.9675205089569732,0,0.00719906244768123,0.04754729616608069,14000,Chicago,0,0,1,0,0,0,METCALFE,FENGER HS,6.908,39231,FALSE,FALSE,TRUE
12,278,20,20080,321330,35950,NA,W,3995,14,NA,2,1,7,4,1,1,1,5,1,1,3,4,0,2,2,2,2,3,2,1,1,0,2463,2,1,2,NA,NA,NA,ELMWOOD PARK,60707,3851,0.5162295507660348,0.02051415216826798,0.04024928589976629,0.4030122046221761,0.03583484809140483,23724,Elmwood Park,0,0,1,0,0,0,SCHOOL DISTRICT UNIT  401,SCHOOL DISTRICT UNIT  401,10.001,50707,FALSE,TRUE,TRUE
13,202,72,72282,110830,29760,AV,W,3968,96,NA,2,6,6,2,1,3,1,5,2,1,2,1,0,2,NA,2,2,3,1,2,2,0,847,2,1,1,3,NA,1,CHICAGO,60620,5708,0.01103714085494043,0.9800280308339172,0.00420462508759635,0.0047302032235459,0,14000,Chicago,0,0,1,0,0,0,FORT DEARBORN,HARLAN HS,6.908,27500,FALSE,TRUE,TRUE
14,203,15,15085,133950,35540,NA,O,3843,76,NA,3,1,6,3,1,3,1,5,1,0,2,1,1,2,2,2,2,3,1,2,2,0,1654,2,1,5,1,NA,NA,CICERO,60804,5600,0.11660714285714284,0.025,0,0.8583928571428572,0,14351,Cicero,0,0,1,0,0,0,SCHOOL DISTRICT  99,BERWYN CICERO STICKNEY HIGH SCHOOL 201,16.731,65638,FALSE,TRUE,TRUE
15,203,17,17080,301850,57450,NA,W,3591,122,NA,1,1,5,2,1,3,1,5,1,0,1,1,0,2,2,2,2,3,1,2,2,0,1320,2,1,5,1,NA,1,EVANSTON,60202,2769,0.7833152762730228,0.05958829902491874,0.05850487540628386,0.05453232213795594,0.07475622968580715,24582,Evanston,0,0,3,1,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,101364,FALSE,TRUE,TRUE
16,203,72,72221,88300,24770,NA,W,3812,69,NA,2,1,7,3,3,1,1,5,2,0,1,1,1,NA,NA,2,2,3,2,2,2,0,1029,2,1,1,1,NA,NA,CHICAGO,60620,2310,0,0.9696969696969696,0.00259740259740259,0.0277056277056277,0,14000,Chicago,0,0,1,0,0,0,CUFFE,HIRSCH HS,6.873317191283292,41985,FALSE,TRUE,TRUE
17,202,70,70091,67830,49860,NA,W,5541,64,NA,3,1,7,3,3,1,1,5,2,0,2,1,1,NA,NA,2,2,3,3,2,2,0,870,2,1,1,3,NA,NA,CHICAGO,60619,6004,0.00766155896069287,0.959526982011992,0.01332445036642238,0.00916055962691539,0.01782145236508994,14000,Chicago,0,0,1,0,0,0,AVALON PARK,CHICAGO VOCATIONAL HS,6.88386464826358,42766,FALSE,TRUE,TRUE
18,203,24,24081,194740,74770,NA,T,7871,66,NA,2,1,6,3,1,1,1,5,2,0,3,2,0,NA,NA,2,2,3,1,2,2,0,1234,2,1,1,NA,NA,NA,NILES,60714,5429,0.6275557192853196,5.525879535826119e-4,0.2578743783385522,0.1057284951188064,0.01657763860747835,53000,Niles,0,0,1,0,1,0,SCHOOL DISTRICT 71,COMMUNITY HIGH SCHOOL  219,7.25,70169,FALSE,TRUE,TRUE
19,211,77,77040,114600,38180,NA,W,3250,103,2,1,1,6,4,2,3,1,5,2,0,3,2,0,2,2,2,2,1,1,2,2,0,1972,2,2,2,NA,NA,NA,CHICAGO,60651,2291,0.16368398079441293,0.29768659973810563,0.00567437800087298,0.5290266259275426,0.00785683107813182,14000,Chicago,0,0,1,0,0,0,CASALS,ORR HS,6.89,43571,FALSE,TRUE,TRUE
20,203,39,39080,109000,47970,NA,O,7995,68,NA,3,1,5,3,4,3,1,5,1,0,3,1,0,NA,NA,2,2,2,1,2,2,0,1045,2,1,1,NA,NA,NA,OAK LAWN,60453,3370,0.7326409495548961,0.05875370919881306,0.00801186943620178,0.19525222551928784,0.01068249258160237,54820,Oak Lawn,0,0,1,0,0,0,SCHOOL DISTRICT  123,COMMUNITY HIGH SCHOOL  218,13.148,64646,FALSE,TRUE,TRUE
21,211,76,76030,172870,130940,NA,W,2976,157,2,1,1,12,4,1,3,2,5,2,0,3,2,0,2,2,2,2,3,2,2,2,0,2080,2,2,2,NA,NA,NA,CHICAGO,60616,4413,0.20938137321549968,0.01495581237253569,0.6236120552911851,0.1497847269431226,0.00453206435531384,14000,Chicago,0,0,1,0,0,0,HEALY,TILDEN HS,6.89,34127,FALSE,TRUE,TRUE
22,202,70,70130,76470,42180,NA,T,4687,69,NA,2,1,5,2,1,3,1,5,1,0,3,1,0,2,NA,2,2,3,1,2,2,0,864,2,1,1,NA,NA,NA,CHICAGO,60617,5584,0.0164756446991404,0.9618553008595988,0,0.01808739255014326,0.00716332378223495,14000,Chicago,0,0,1,0,0,0,EARHART,BOWEN HS,6.908,50426,FALSE,TRUE,TRUE
23,202,72,72380,131500,37500,NA,T,3750,107,NA,2,1,9,4,1,1,2,5,2,0,3,2,0,NA,NA,2,2,2,1,2,2,0,956,2,1,1,NA,NA,NA,CHICAGO,60638,4022,0.41198408751864746,0.01541521631029338,0.0069617105917454,0.561163600198906,0.00895077076081551,14000,Chicago,0,0,1,0,0,0,HALE,KENNEDY HS,6.934,44085,FALSE,TRUE,TRUE
24,211,73,73120,422430,180000,NA,W,3000,142,3,1,1,8,5,1,2,1,5,2,0,1,3,0,2,2,2,2,1,1,2,2,0,2120,2,2,5,1,NA,1,CHICAGO,60657,3625,0.8171034482758621,0.01462068965517241,0.0673103448275862,0.06924137931034482,0.05958620689655172,14000,Chicago,0,0,1,0,0,0,BURLEY,LAKE VIEW HS,6.89,143667,FALSE,TRUE,TRUE
25,278,24,24102,450030,130680,VG,W,11880,46,NA,3,1,9,6,3,1,1,5,1,1,3,2,1,2,2,2,2,3,3,1,2,0,3472,2,1,2,NA,NA,NA,LINCOLNWOOD,60712,4052,0.6236426456071076,0,0.30009871668311944,0.06688055281342548,0.01431391905231984,43744,Lincolnwood,0,0,1,0,0,0,SCHOOL DISTRICT 74,COMMUNITY HIGH SCHOOL  219,8.872,105132,FALSE,TRUE,TRUE
26,211,77,77102,93070,36710,NA,W,3125,117,2,1,1,6,4,2,3,1,5,2,0,3,2,0,NA,NA,2,2,3,1,2,2,0,2396,2,2,2,NA,NA,NA,CHICAGO,60624,2150,0.0041860465116279,0.947906976744186,0.02558139534883721,0.02232558139534883,0,14000,Chicago,0,0,1,0,0,0,HEFFERAN,MANLEY HS,6.913,25625,FALSE,TRUE,TRUE
27,205,31,31080,160970,31820,AV,W,6700,74,NA,2,1,6,3,1,1,1,5,1,0,2,1,0,NA,NA,2,2,1,1,2,2,0,1260,2,1,2,3,NA,NA,HILLSIDE,60162,5989,0.1841709801302388,0.4748705960928369,0.00333945566872599,0.3274336283185841,0.02037067957922858,35086,Hillside,0,0,1,0,0,0,SCHOOL DISTRICT 87,PROVISO TOWNSHIP HIGH SCHOOL 209,15.18,54597,FALSE,TRUE,TRUE
28,206,23,23021,557130,389760,NA,T,18560,92,NA,2,4,11,3,3,3,2,5,2,1,2,3,1,2,NA,1,2,1,2,1,1,0,3256,2,1,2,3,NA,NA,GLENCOE,60022,2498,0.9191353082465972,0,0.04723779023218575,0.02001601281024819,0.02722177742193755,29652,Glencoe,0,0,1,0,0,1,SCH DISTRICT 35,NEW TRIER TOWNSHIP HIGH SCHOOL  203,8.481,250001,FALSE,TRUE,TRUE
29,202,72,72121,36790,20310,NA,O,3125,102,NA,1,1,5,2,1,3,1,5,2,0,2,1,0,NA,NA,2,2,1,1,2,2,0,861,2,1,1,1,NA,1,CHICAGO,60636,4064,0.00713582677165354,0.96998031496063,0,0.00664370078740157,0.03248031496062992,14000,Chicago,0,0,1,0,0,0,RANDOLPH,HARPER HS,6.873317191283292,43063,FALSE,TRUE,TRUE
30,203,70,70240,88570,20310,NA,W,3125,58,NA,2,1,5,2,1,3,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,1040,2,1,1,NA,NA,NA,CHICAGO,60617,2809,0.22783908864364544,0,0.01103595585617657,0.761124955500178,0,14000,Chicago,0,0,1,0,0,0,"WASHINGTON, G",WASHINGTON HS,6.908,44738,FALSE,FALSE,TRUE
31,211,77,77102,99660,43710,NA,W,3720,107,2,2,1,12,6,1,1,1,2,2,0,3,2,0,2,2,2,2,3,1,2,2,0,2460,2,2,2,NA,NA,1,CHICAGO,60644,4653,0.01246507629486353,0.9525037610143992,0.01160541586073501,0.02342574683000214,0,14000,Chicago,0,0,2,1,0,0,LELAND,MANLEY HS,6.89,26230,FALSE,TRUE,TRUE
32,210,22,22040,139620,23630,NA,W,3781,75,NA,2,1,6,3,1,1,1,5,1,0,2,1,0,2,2,2,2,1,1,2,2,0,996,2,1,1,3,NA,NA,DES PLAINES,60018,4483,0.5277715815302253,0.03033682801695293,0.08788757528440776,0.3241133169752398,0.05978139638634842,19642,Des Plaines,0,0,1,0,0,0,SCHOOL DISTRICT C C  62,MAINE TOWNSHIP HIGH SCHOOL  207,9.229,71359,FALSE,TRUE,TRUE
33,211,70,70010,305910,53550,NA,W,3150,3,3,2,2,15,6,2,3,1,5,1,0,3,6,0,2,2,2,2,7,NA,NA,NA,0,3893,2,2,3,NA,NA,NA,CHICAGO,60653,1983,0.02672718103883005,0.9435199193141705,0,0.00706001008572869,0.03983862834089763,14000,Chicago,0,0,1,0,0,0,FULLER,PHILLIPS HS,6.89,17600,FALSE,FALSE,TRUE
34,211,31,31040,12200,23690,NA,O,4989,132,2,1,1,8,4,1,3,1,5,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,1578,2,2,2,NA,NA,1,MAYWOOD,60153,4092,0.12976539589442815,0.2612414467253177,2.4437927663734115e-4,0.6019061583577713,0.0136852394916911,47774,Maywood,0,0,1,0,0,1,SCHOOL DISTRICT 89,PROVISO TOWNSHIP HIGH SCHOOL 209,21.667,59926,FALSE,TRUE,TRUE
35,211,72,72170,122960,22550,NA,O,3007,14,3,1,1,15,9,1,2,1,5,1,0,3,3,0,2,1,2,2,7,NA,NA,NA,0,3525,2,2,2,NA,NA,NA,CHICAGO,60621,2433,0,0.9654747225647348,0,0.02342786683107275,0.01109741060419235,14000,Chicago,0,0,6,0,0,0,STAGG,ROBESON HS,6.873317191283292,38385,FALSE,FALSE,TRUE
36,211,27,27040,455980,59470,NA,W,5287,107,2,2,1,13,7,2,2,2,5,1,0,3,3,0,2,2,1,2,3,1,2,2,0,4867,2,2,2,NA,NA,1,OAK PARK,60302,2413,0.6394529631164525,0.18814753418980523,0.05470368835474513,0.0663075010360547,0.09407376709490262,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,55179,FALSE,TRUE,TRUE
37,234,37,37033,131030,15930,NA,W,4248,34,NA,3,1,6,3,3,1,1,5,1,1,3,2,0,2,2,2,2,3,2,1,2,59,1427,2,1,4,NA,NA,NA,DOLTON,60419,2723,0.02901211898641204,0.9283878075651856,0,0,0.085200146896805,20292,Dolton,0,0,1,0,0,0,SCHOOL DISTRICT  149,THORNTON TOWNSHIP HIGH SCHOOL  205,25.009,34500,FALSE,TRUE,TRUE
38,278,70,70010,408380,65430,NA,W,3849,3,NA,1,1,8,5,1,1,1,5,1,1,3,3,1,2,2,2,2,5,1,2,2,0,2176,2,1,2,NA,NA,NA,NA,NA,2918,0.02501713502398903,0.888279643591501,0.00891021247429746,0.04455106237148732,0.05311857436600411,14000,Chicago,0,0,1,0,0,0,WOODSON,PHILLIPS HS,6.89,39602,FALSE,TRUE,TRUE
39,204,25,25021,629640,57580,MH,O,4799,2,NA,1,1,6,3,1,3,1,5,1,1,3,2,1,2,2,2,2,3,1,1,2,0,2094,2,1,1,NA,NA,NA,NORTHBROOK,60062,5600,0.8053571428571429,7.142857142857143e-4,0.14625,0.02553571428571428,0.04428571428571428,53481,Northbrook,0,0,1,0,0,1,SCHOOL DISTRICT 27,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.599,138992,FALSE,TRUE,TRUE
40,211,72,72221,107290,25790,NA,O,3968,101,2,1,1,10,6,1,3,1,5,2,0,3,3,0,2,2,2,2,3,2,2,2,0,2900,2,2,2,NA,NA,2,CHICAGO,60620,4741,8.437038599451593e-4,0.9860788863109048,0.00780426070449272,0,0.00527314912465724,14000,Chicago,0,0,1,0,0,1,COOK,HIRSCH HS,6.873317191283292,31233,FALSE,TRUE,TRUE
41,203,71,71150,175220,61500,NA,T,4920,110,NA,3,1,8,5,1,3,1,5,2,0,1,2,1,2,NA,2,2,3,1,2,2,0,1421,2,1,5,1,NA,NA,CHICAGO,60634,7328,0.599754366812227,0.07273471615720524,0.05499454148471616,0.26282751091703055,0.01937772925764192,14000,Chicago,0,0,1,0,0,0,BRIDGE,STEINMETZ COLLEGE PREP HS,6.894,75339,FALSE,TRUE,TRUE
42,211,70,70120,135530,42400,NA,O,4712,100,3,2,2,20,8,1,3,2,5,2,0,3,3,0,2,2,2,2,3,2,2,2,0,4248,2,2,3,NA,NA,NA,CHICAGO,60619,4890,0.03006134969325153,0.9251533742331288,0,0.02310838445807771,0.04335378323108384,14000,Chicago,0,0,1,0,0,0,DIXON,HIRSCH HS,6.88386464826358,26508,FALSE,TRUE,TRUE
43,203,29,29060,191480,23270,NA,W,6650,66,NA,1,1,7,4,4,3,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,1579,2,1,1,NA,NA,NA,PALATINE,60067,4559,0.8017109015134898,0.02039921035314762,0.05878482123272648,0.0993638955911384,0.03750822548804562,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,84615,FALSE,TRUE,TRUE
44,278,29,29033,269180,47850,NA,W,7656,45,NA,1,1,8,4,4,3,1,5,1,1,3,2,0,2,NA,2,2,3,1,1,2,0,2122,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60192,4955,0.6302724520686176,0.02119071644803229,0.2343087790110999,0.06881937436932392,0.09081735620585268,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.023,116563,FALSE,TRUE,TRUE
45,203,12,12032,77210,21600,NA,T,7200,51,NA,1,1,5,3,1,1,1,5,2,0,3,1,0,2,NA,2,2,4,1,2,2,0,1095,2,1,1,NA,NA,NA,GLENWOOD,60425,4966,0.1761981474023359,0.7184857027788965,8.054772452678212e-4,0.07410390656463955,0.0590012082158679,30029,Glenwood,0,0,1,0,0,0,SCHOOL DISTRICT  167,BLOOM TOWNSHIP HIGH SCHOOL  206,18.647,57361,FALSE,TRUE,TRUE
46,204,19,19060,353560,144930,NA,T,25206,27,NA,4,1,6,3,1,3,1,5,1,1,2,2,1,2,2,2,2,5,1,1,2,0,3566,2,1,5,1,NA,NA,LEMONT,60439,6124,0.8585891574134552,0,0.0225342913128674,0.0948726322664925,0.04555845852384063,42795,Lemont,0,0,1,0,0,0,COMBINED SCHOOL DISTRICT C.C. NO. 113A,LEMONT TOWNSHIP HIGH SCHOOL  210,7.932,92984,FALSE,TRUE,TRUE
47,211,71,71082,431590,79680,NA,W,3622,106,4,2,1,16,8,1,3,1,2,2,0,3,4,0,2,2,2,2,3,1,2,2,0,3955,2,2,2,NA,NA,NA,CHICAGO,60618,3529,0.47747237177670726,0.01756871635024086,0.04817228676678946,0.429016718617172,0.05553981297818079,14000,Chicago,0,0,6,1,0,0,BATEMAN,ROOSEVELT HS,6.901516611295682,68902,FALSE,TRUE,TRUE
48,203,31,31160,178890,24370,NA,W,3750,92,NA,2,1,5,3,1,3,1,5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,1108,2,1,1,3,NA,1,BROOKFIELD,60513,5502,0.8009814612868048,0.01035986913849509,0.02998909487459105,0.1395856052344602,0.03816793893129771,08576,Brookfield,0,0,1,0,0,0,SCHOOL DISTRICT 95,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,13.524,84053,FALSE,TRUE,TRUE
49,208,23,23141,18730,221660,NA,W,9236,2,NA,1,1,8,4,1,1,1,5,1,1,1,4,1,2,2,2,2,3,1,2,2,0,4413,2,1,2,1,NA,NA,NA,NA,4426,0.8565295978309987,0.00948938093086308,0.08901943063714415,0.01943063714414821,0.04518752824220515,82075,Wilmette,0,0,4,1,0,0,SCH DISTRICT 39,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.823,165139,TRUE,TRUE,TRUE
50,278,30,30054,224640,74010,VG,T,10965,46,NA,3,1,9,6,2,3,1,5,2,1,3,2,1,2,2,2,2,3,2,1,2,0,3334,2,1,2,NA,NA,NA,PALOS HEIGHTS,60463,4031,0.9533614487720168,2.4807740014884643e-4,0.01786157281071694,0.00917886380550731,0.01935003721161002,57381,Palos Heights,0,0,1,0,0,0,SCHOOL DISTRICT C C  118,CONSOLIDATED HIGH SCHOOL  230,9.992,85119,FALSE,TRUE,TRUE
51,202,37,37181,44600,25500,NA,W,6800,98,NA,1,1,3,2,1,3,1,5,2,0,3,1,1,2,2,2,2,1,1,2,2,0,640,2,1,1,NA,NA,NA,LANSING,60438,4816,0.5371677740863787,0.29485049833887045,0.01474252491694352,0.1532392026578073,0,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,54940,FALSE,TRUE,TRUE
52,205,72,72271,264120,90000,NA,O,9000,96,NA,1,1,6,4,2,3,1,5,2,0,3,2,0,NA,NA,2,2,1,1,2,2,0,2046,2,1,2,NA,NA,NA,CHICAGO,60643,4047,0.3904126513466766,0.5213738571781567,0.00494193229552755,0.05090190264393378,0.05534964170990857,14000,Chicago,0,0,1,0,0,0,SUTHERLAND,MORGAN PARK HS,6.908,73300,FALSE,TRUE,TRUE
53,203,70,70180,73450,30000,NA,W,5456,78,NA,2,1,6,3,1,1,1,5,2,0,1,1,0,2,NA,2,2,3,1,2,2,0,1360,2,1,5,1,NA,NA,CHICAGO,60617,5126,0.00351150994927819,0.9921966445571596,0,0.00429184549356223,0,14000,Chicago,0,0,1,0,0,0,BURNHAM,BOWEN HS,6.908,30069,FALSE,TRUE,TRUE
54,203,22,22130,78350,69440,AV,W,8170,66,NA,3,1,5,3,1,3,2,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1048,2,1,1,NA,NA,NA,DES PLAINES,60018,3286,0.7325015216068168,0.01217285453438831,0.16372489348752284,0.07668898356664638,0.02982349360925137,19642,Des Plaines,0,0,1,0,0,0,SCHOOL DISTRICT C C  62,MAINE TOWNSHIP HIGH SCHOOL  207,9.229,72946,FALSE,TRUE,TRUE
55,202,72,72312,61490,23070,NA,W,3550,58,NA,2,1,5,2,1,1,1,5,2,0,1,1,0,2,2,2,2,7,NA,NA,NA,0,969,2,1,1,3,NA,NA,CHICAGO,60643,3663,0.00682500682500682,0.90990990990991,0,0,0.11984711984711983,14000,Chicago,0,0,1,0,0,0,SHOOP,MORGAN PARK HS,6.908,37159,FALSE,FALSE,TRUE
56,203,71,71030,212980,50220,NA,W,3720,66,NA,2,1,7,3,1,1,2,5,2,0,3,1,1,NA,NA,2,2,7,NA,NA,NA,0,1339,2,1,1,NA,NA,NA,CHICAGO,60659,5228,0.5994644223412395,0.03136954858454476,0.2872991583779648,0.06465187452180567,0.03309104820198929,14000,Chicago,0,0,1,0,0,1,SOLOMON,MATHER HS,6.901516611295682,43438,FALSE,FALSE,TRUE
57,202,24,24031,163360,76720,NA,W,9590,69,NA,1,1,6,3,1,3,1,5,1,1,3,1,1,2,2,2,2,3,1,2,2,0,966,2,1,1,NA,NA,1,GLENVIEW,60025,2104,0.9211026615969582,4.752851711026616e-4,0.03326996197718631,0.03422053231939163,0.01996197718631178,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.13,170313,FALSE,TRUE,TRUE
58,204,31,31010,211520,37180,NA,T,8750,75,NA,1,1,7,3,4,3,1,5,1,1,2,1,0,2,2,2,2,3,1,2,2,0,2164,2,1,5,1,NA,NA,NORTHLAKE,60164,2821,0.1662531017369727,0.07904998227578873,0.0163062743707905,0.7334278624601205,0.00815313718539525,53871,Northlake,0,0,1,0,0,0,SCHOOL DISTRICT 87,PROVISO TOWNSHIP HIGH SCHOOL 209,12.972,48381,FALSE,TRUE,TRUE
59,203,72,72212,59900,32240,NA,W,4030,63,NA,1,1,4,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1112,2,1,1,NA,NA,NA,CHICAGO,60620,5007,5.991611743559018e-4,0.9796285200718994,0,0.00519273017775114,0.01457958857599361,14000,Chicago,0,0,1,0,0,0,JOPLIN,BOGAN HS,6.873317191283292,42596,FALSE,TRUE,TRUE
