var_name_sql,var_name_addchars,var_name_socrata,var_name_standard,var_name_pretty,var_type,var_data_type,var_is_published,var_is_clustered,var_is_predictor,var_code,var_value,var_value_short,var_notes
REPAIR_CND,QU_STATE_OF_REPAIR,repair_cnd,char_repair_cnd,Repair Condition,char,categorical,TRUE,FALSE,FALSE,2,Average,AVG,"This field is subjective and contains little variation. As such, it is not used for modeling."
REPAIR_CND,QU_STATE_OF_REPAIR,repair_cnd,char_repair_cnd,Repair Condition,char,categorical,TRUE,FALSE,FALSE,3,Below Average,POOR,"This field is subjective and contains little variation. As such, it is not used for modeling."
ROOF_CNST,QU_ROOF,roof_cnst,char_roof_cnst,Roof Material,char,categorical,TRUE,TRUE,TRUE,1,Shingle + Asphalt,SHAS,NA
ROOF_CNST,QU_ROOF,roof_cnst,char_roof_cnst,Roof Material,char,categorical,TRUE,TRUE,TRUE,2,Tar + Gravel,TRGR,NA
ROOF_CNST,QU_ROOF,roof_cnst,char_roof_cnst,Roof Material,char,categorical,TRUE,TRUE,TRUE,3,Slate,SLTE,NA
ROOF_CNST,QU_ROOF,roof_cnst,char_roof_cnst,Roof Material,char,categorical,TRUE,TRUE,TRUE,4,Shake,SHKE,NA
ROOF_CNST,QU_ROOF,roof_cnst,char_roof_cnst,Roof Material,char,categorical,TRUE,TRUE,TRUE,5,Tile,TILE,NA
ROOF_CNST,QU_ROOF,roof_cnst,char_roof_cnst,Roof Material,char,categorical,TRUE,TRUE,TRUE,6,Other,OTHR,NA
ROOMS,QU_ROOMS,rooms,char_rooms,Rooms,char,numeric,TRUE,FALSE,TRUE,NA,NA,NA,Number of rooms in the property (excluding baths). Not to be confused with bedrooms
SITE,QU_SITE_DESIRE,site,char_site,Site Desirability,char,categorical,TRUE,FALSE,FALSE,1,Beneficial To Value,BTV,This field lacks sufficient variation to be useful for modeling.
SITE,QU_SITE_DESIRE,site,char_site,Site Desirability,char,categorical,TRUE,FALSE,FALSE,2,Not Relevant To Value,NRTV,This field lacks sufficient variation to be useful for modeling.
SITE,QU_SITE_DESIRE,site,char_site,Site Desirability,char,categorical,TRUE,FALSE,FALSE,3,Detracts From Value,DFV,This field lacks sufficient variation to be useful for modeling.
TP_DSGN,QU_TYPE_DESIGN,tp_dsgn,char_tp_dsgn,Cathedral Ceiling,char,categorical,TRUE,FALSE,TRUE,1,Yes,YES,"This field name comes from a variable that is no longer used, but the field name was not changed to reflect Cathedral Ceiling"
TP_DSGN,QU_TYPE_DESIGN,tp_dsgn,char_tp_dsgn,Cathedral Ceiling,char,categorical,TRUE,FALSE,TRUE,2,No,NO,"This field name comes from a variable that is no longer used, but the field name was not changed to reflect Cathedral Ceiling"
TP_PLAN,QU_TYPE_PLAN,tp_plan,char_tp_plan,Design Plan,char,categorical,TRUE,FALSE,TRUE,1,Architect,ARCT,NA
TP_PLAN,QU_TYPE_PLAN,tp_plan,char_tp_plan,Design Plan,char,categorical,TRUE,FALSE,TRUE,2,Stock Plan,STCK,NA
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,1,1 Story,1STRY,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 5"
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,2,2 Story,2STRY,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 6"
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,3,3 Story +,3STRY+,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 7"
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,4,Split Level,SPLT,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 8"
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,5,1.5 Story,1.5STRY,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 9"
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,6,1.6 Story,1.6STRY,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 10"
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,7,1.7 Story,1.7STRY,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 11"
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,8,1.8 Story,1.8STRY,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 12"
TYPE_RESD,QU_TYPE_OF_RES,type_resd,char_type_resd,Type of Residence,char,categorical,TRUE,TRUE,TRUE,9,1.9 Story,1.9STRY,"Residences with 1.5 - 1.9 stories are one story and have partial livable attics and are classified based on the square footage of the attic compared to the first floor of the house. So, 1.5 story houses have an attic that is 50% of the area of the first floor, 1.6 story houses are 60%, 1.7 are 70%, etc. However, what is recorded on the field card differs from what is in the database. All 1.5 - 1.9 story houses are coded as 13"
USE,QU_USE,use_1,char_use,Use,char,categorical,TRUE,TRUE,TRUE,1,Single-Family,SF,NA
USE,QU_USE,use_1,char_use,Use,char,categorical,TRUE,TRUE,TRUE,2,Multi-Family,MF,NA
VOLUME,QU_VOL,NA,char_volume,Volume,char,numeric,FALSE,FALSE,FALSE,NA,NA,NA,Need to clarify definition.
midincome,NA,tract_midincome,econ_midincome,Tract Median Income,econ,numeric,TRUE,TRUE,TRUE,NA,NA,NA,Median income of the census tract containing the property centroid.
TAX_AMT_PAID,NA,NA,econ_tax_amt_paid,Tax Amount Paid,econ,numeric,TRUE,FALSE,FALSE,NA,NA,NA,Tax amount paid by the property owner. Taken from Cook County Treasurer's Office.
TAX_CD,NA,NA,econ_tax_cd,Tax Location Code,econ,character,FALSE,FALSE,FALSE,NA,NA,NA,NA
TAX_RATE,NA,NA,econ_tax_rate,Tax Rate,econ,numeric,TRUE,TRUE,TRUE,NA,NA,NA,Tax rate paid by the property owner. Taken from Cook County Treasurer's Office.
NA,NA,NA,econ_foreclosures_month_town,Number of Foreclosures in Town Per Month,econ,numeric,TRUE,FALSE,FALSE,NA,NA,NA,The number of foreclosures in the property's township during the month the sale occurred in
NA,NA,NA,econ_foreclosures_quarter_town,Number of Foreclosures in Town Per Quarter,econ,numeric,TRUE,FALSE,FALSE,NA,NA,NA,The number of foreclosures in the property's township during the quarter the sale occurred in
black_perc,NA,tract_black_perc,geo_black_perc,Tract Percent Pop. Black,geo,numeric,TRUE,FALSE,FALSE,NA,NA,NA,Black population percentage of the census tract containing the property centroid.
census_tract,NA,tract_id,geo_census_tract,Census Tract,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,Last 6 digits of GEOID for matched census tract (tract ID only).
centroid_x,NA,longitude,geo_longitude,Longitude,geo,numeric,TRUE,TRUE,FALSE,NA,NA,NA,"Longitude coordinate of the property's location, as defined by the centroid of the parcel shape in GIS."
centroid_y,NA,latitude,geo_latitude,Latitude,geo,numeric,TRUE,TRUE,FALSE,NA,NA,NA,"Latitude coordinate of the property's location, as defined by the centroid of the parcel shape in GIS."
commissioner_dist,NA,commissioner_dist,geo_commissioner_dist,Cook County Commissioner District,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,NA
FIPS,NA,municipality_fips,geo_fips,Municipality FIPS Code,geo,character,TRUE,FALSE,FALSE,NA,NA,NA,FIPS code of the municipality containing the property.
floodplain,NA,floodplain,geo_floodplain,FEMA Floodplain,geo,logical,TRUE,FALSE,TRUE,NA,NA,NA,Indicator for whether property lies within a FEMA-defined floodplain.
geoid,NA,tract_geoid,geo_geoid,Tract GEOID,geo,character,TRUE,FALSE,FALSE,NA,NA,NA,Full 11-digit GEOID for matched census tract.
his_perc,NA,tract_his_perc,geo_his_perc,Tract Percent Pop. Hispanic,geo,numeric,TRUE,FALSE,FALSE,NA,NA,NA,Hispanic population percentage of the census tract containing the property centroid.
MAILING_ADDRESS,NA,mailing_address,geo_mailing_address,Mailing Address,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,Mailing address of the property owner.
MAILING_STATE,NA,mailing_state,geo_mailing_state,Mailing State,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,Mailing state of the property owner.
MAILING_CITY,NA,mailing_city,geo_mailing_city,Mailing City,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,Mailing city of the property owner.
MAILING_ZIP,NA,mailing_zip,geo_mailing_zip,Mailing Zip Code,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,Mailing zip code of the property owner.
municipality,NA,municipality,geo_municipality,Municipality Name,geo,character,TRUE,FALSE,FALSE,NA,NA,NA,NA
ohare_noise,NA,ohare_noise,geo_ohare_noise,O'Hare Noise Indicator,geo,logical,TRUE,FALSE,TRUE,NA,NA,NA,NA
other_perc,NA,tract_other_perc,geo_other_perc,Tract Percent Pop. Other,geo,numeric,TRUE,FALSE,FALSE,NA,NA,NA,Other population percentage of the census tract containing the property centroid.
PROPERTY_ADDRESS,NA,property_address,geo_property_address,Property Address,geo,character,TRUE,FALSE,FALSE,NA,NA,NA,"Property street address, not the address of the taxpayer."
PROPERTY_APT_NO,NA,property_apt_no,geo_property_apt_no,Property Apartment Num.,geo,character,TRUE,FALSE,FALSE,NA,NA,NA,"Property street address, not the address of the taxpayer."
PROPERTY_CITY,NA,property_city,geo_property_city,Property City,geo,character,TRUE,FALSE,FALSE,NA,NA,NA,"Property street address, not the address of the taxpayer."
PROPERTY_ZIP,NA,property_zip,geo_property_zip,Property Zip Code,geo,character,TRUE,FALSE,FALSE,NA,NA,NA,"Property street address, not the address of the taxpayer."
PUMA,NA,puma,geo_puma,Public Use Microdata Area,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,NA
reps_dist,NA,reps_dist,geo_reps_dist,Illinois State Representative District,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,NA
senate_dist,NA,senate_dist,geo_senate_dist,Illinois State Senate District,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,NA
tif_agencynum,NA,tif_agencynum,geo_tif_agencynum,TIF Agency Number,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,NA
ward,NA,ward,geo_ward,City of Chicago Ward,geo,character,FALSE,FALSE,FALSE,NA,NA,NA,NA
white_perc,NA,tract_white_perc,geo_white_perc,Tract Percent Pop. White,geo,numeric,TRUE,FALSE,FALSE,NA,NA,NA,White population percentage of the census tract containing the property centroid.
withinmr100,NA,withinmr100,geo_withinmr100,Road Proximity < 100 Feet,geo,logical,TRUE,FALSE,TRUE,NA,NA,NA,Indicates whether the property is within 100 feet of a major road.
withinmr101300,NA,withinmr101300,geo_withinmr101300,Road Proximity 101 - 300 Feet,geo,logical,TRUE,FALSE,TRUE,NA,NA,NA,Indicates whether the property is between 101 and 300 feet of a major road.
MULTI_IND,NA,multi_ind,ind_multi_code,Multi Code Indicator,ind,logical,TRUE,FALSE,FALSE,NA,NA,NA,"Indicates a property with multiple improvements on one PIN, e.g. a main house and a coach house. NOT to be confused with a property which was part of a multi-pin sale."
NA,NA,NA,ind_large_home,Large Home Indicator,ind,logical,TRUE,FALSE,FALSE,NA,NA,NA,"If true, property class is either 208 or 209."
NA,NA,NA,ind_class_error,Class Code Error Indicator,ind,logical,TRUE,FALSE,FALSE,NA,NA,NA,"If true, the recorded characteristics do not align with the recorded class. See chars_check_class() function in CCAO package for details."
NA,NA,NA,ind_large_lot,Large Lot Indicator,ind,logical,TRUE,FALSE,TRUE,NA,NA,NA,"Large lot factor variable, where 1 acre of land (land square feet > 43559) is defined as a large lot. 1 = large lot, 0 = not a large lot."
NA,NA,NA,ind_garage,Garage Indicator,ind,logical,TRUE,FALSE,TRUE,NA,NA,NA,Indicates presence of a garage of any size.
NA,NA,pure_market_filter,ind_pure_market,Pure Market Indicator,ind,logical,TRUE,FALSE,FALSE,NA,NA,NA,Indicates whether a sale has pure market/arms length characteristics.
CDU,NA,condition_desirability_and_utility,meta_cdu,"Condition, Desirability, and Utility",meta,character,TRUE,FALSE,FALSE,NA,NA,NA,"Dozens of codes attached to face sheet that denote a number of seemingly unrelated characteristics associated with a PIN, ranging from condition to types of subsidies. This field does not match across the SQL server/AS-400."
CLASS,QU_CLASS,class,meta_class,Property Class,meta,character,TRUE,FALSE,FALSE,NA,NA,NA,NA
DOC_NO,NA,doc_no,meta_document_num,Sale Document Number,meta,character,TRUE,FALSE,FALSE,NA,NA,NA,"Document number of a property sale, as recorded by the Clerk's office."
